fee_category,fee_name,regular_program_jod,international_program_jod,unit,source_page,source
One-time,Application Fee,50,50,per application,26-27,Untitled document(1).pdf
One-time,Placement Test Fee,50,50,one time,27,Untitled document(1).pdf
One-time,Enrollment Fee,300,500,one time,27,Untitled document(1).pdf
One-time,Refundable Deposit,100,100,one time,27,Untitled document(1).pdf
Semester,"Registration, Services & Health Insurance - Fall/Spring",350,500,per semester,27-28,Untitled document(1).pdf
Semester,"Registration, Services & Health Insurance - Summer",150,200,per summer semester,28,Untitled document(1).pdf
Credit hour,Technical Degree,120,175,per credit hour,28-29,Untitled document(1).pdf
Credit hour,Bachelor's Degree,120,175,per credit hour,28-29,Untitled document(1).pdf
